,serialid,id,date_str,degrees_from_mean,max_temp,min_temp,type,year,station_name,longitude,latitude,geometry,index_right,STATE,NAME,FIPS
38595,1549793,USC00313784,2012-04-30,9.94,27.8,18.3,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38596,1552578,USC00313784,2012-01-07,11.65,23.3,1.7,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38597,1556090,USC00313784,2012-03-31,13.1,26.1,16.7,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38598,1558700,USC00313784,2012-02-23,12.12,26.1,8.3,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38599,1559866,USC00313784,2012-06-29,10.33,41.7,20.0,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38600,1565372,USC00313784,2012-03-01,14.2,28.3,17.8,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38601,1574549,USC00313784,2012-07-05,6.47,39.4,22.8,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38602,1575848,USC00313784,2012-07-01,6.47,39.4,23.3,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38603,1576476,USC00313784,2012-07-08,12.38,39.4,26.1,Strong Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
38604,1576873,USC00313784,2012-07-09,4.21,38.3,24.4,Weak Hot,2012,HAMLET,-79.6922,34.8872,POINT (-79.6922 34.8872),25,NC,North Carolina,37
41342,966820,USW00093729,2013-09-01,5.28,31.1,25.6,Weak Hot,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41343,969325,USW00093729,2013-12-23,8.67,22.8,12.8,Weak Hot,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41344,969598,USW00093729,2013-12-22,12.95,21.7,18.9,Weak Hot,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41345,972532,USW00093729,2013-07-19,3.89,31.1,26.7,Weak Hot,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41346,976130,USW00093729,2013-08-22,4.08,31.1,26.7,Weak Hot,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41347,979654,USW00093729,2013-11-13,-10.2,7.8,4.4,Weak Cold,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41348,989044,USW00093729,2013-11-28,-11.3,6.7,2.2,Weak Cold,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
